1980.25,52796,54218,57027,58402,55282,51839,73365,80647,82125,86761,86751,75392,64296,73106,76716,61425,61014,53563,65016,67804,67576,75353,70239,64333
2010,58635,58018,61165,59563,54935,49590,77945,84137,83325,85908,87633,76425,65198,75667,77508,62002,60863,54218,63153,68378,71453,73312,74792,65712
2040.25,56196,55582,58665,55910,54943,51878,72420,80235,81031,84790,86902,74398,65447,74796,77490,58684,60878,52384,60316,68545,69778,73865,72049,64455
2070.25,59475,55112,61620,58065,54590,52755,75182,81414,81986,85839,85363,74614,66680,75682,76867,64739,60722,53222,62143,68627,74502,73820,69337,65512
2100.25,58833,57455,60280,59947,55586,51335,75824,80296,81614,85349,87455,76169,66955,75751,78435,62702,61929,55692,60892,70137,72176,75229,72914,66243
2130.25,56875,58094,58537,62378,55049,51339,74604,83010,85410,86431,85124,75114,66108,75055,77502,61367,61561,54475,62914,67737,73831,73971,72759,64124
2160.25,58627,60282,61986,59637,54178,50141,74465,81535,82765,82610,84953,72627,65575,75473,77845,60457,62367,53206,62757,70022,70671,77335,72820,63975
2190.25,56667,59265,60251,60390,54522,50327,71690,81267,83571,84502,85065,73343,65324,74271,75869,61965,62322,56141,60524,69578,70820,75953,72861,64857
2220.25,55537,58496,59369,62443,57204,52122,71743,79020,80496,81863,82941,71459,66341,75151,77563,61414,63933,53296,65910,70627,71382,72775,75578,64306
2250.25,56851,59392,62976,60424,55590,53653,73324,79398,81184,81055,83131,72804,67112,76541,77671,62976,62161,54175,62049,68220,71802,75839,73308,65355
2280.25,56018,57608,61624,61176,56478,51565,71849,79392,82141,81025,80939,70882,66833,77747,77645,60298,60386,52465,65835,70398,74133,74014,72967,64951
2310.25,58175,58024,61094,60951,56302,51975,73086,78571,78639,80551,81931,71406,67976,75706,77504,61476,63551,55188,64267,68133,71339,75896,70753,63680
2340.25,56467,59122,60375,61114,56402,53394,71914,75445,79963,79867,81212,72204,67988,77741,78792,62057,62739,52610,62931,70916,72786,75818,74975,65557
2370.25,59657,59176,62045,61359,57182,54384,70239,77590,77514,79847,81120,70784,68590,78959,79804,63455,62892,53641,64084,71184,73820,75176,73580,67651
2400.25,57639,62367,61790,61076,58024,54384,70343,75151,77973,75249,80010,70931,64688,75888,78508,61243,63027,54531,61410,69335,72675,74939,72033,66667
2430.25,58541,60941,62857,60153,57678,52984,69790,77973,77451,80404,80394,70047,68824,77247,81410,64853,64620,55892,64269,71580,73731,77037,74718,66096
2460.25,58098,60218,62629,59271,57535,51816,69333,76045,76329,77375,79873,69800,67343,76012,77696,60798,63537,54582,61596,71610,72200,77378,72533,66600
2490.25,60067,56602,65924,61880,57780,53655,66782,75457,77024,74439,76971,68643,66818,74480,80492,60473,62608,54139,61125,70324,69884,74216,73714,65806
2520.25,59037,56488,58798,59041,58204,53086,68686,74161,74602,75935,75988,67580,68953,77663,77576,60620,63135,52873,62512,69320,73486,76969,73122,64329
2550.25,56182,58655,60345,62796,58012,53398,67475,75033,75486,75478,78227,67775,68724,76620,79751,64682,62824,53908,64384,70975,72120,76496,74851,66280
2580.25,58667,56492,64045,61569,60163,54080,69318,74486,75365,76145,75878,68888,68637,78835,79022,61286,62880,54408,61065,70169,71339,75431,70973,66033
2610.25,56673,55035,66994,60210,58392,54184,70445,74427,75700,77508,76575,68298,69518,79573,81263,62433,62853,56337,64784,69216,70686,77367,74394,64865
2640.25,54614,54043,59784,62280,56149,55386,65816,72906,72924,75990,76355,64273,67282,77776,79975,62380,61337,52894,64090,70269,71410,74249,73031,64508
2670.25,56218,54298,56651,60106,59137,52233,64988,71478,71378,76929,74945,66576,66798,77159,79224,61975,62822,57106,64635,70925,73514,75380,71971,63690
2700.25,54424,53251,58855,62924,58578,53473,64220,72124,74829,75110,78500,64422,67192,76510,79741,61259,61386,54678,63229,71375,71190,75857,74331,64622
2730.25,55029,57276,56076,59524,56967,54061,67092,70573,71598,69829,72280,64206,68694,76761,81518,61855,62371,55276,63335,70725,71741,75357,74439,65539
2760.25,53406,55510,59327,61224,57659,52541,63361,68743,72053,69931,74945,64824,68704,77925,80245,62308,63039,55647,63076,73114,74037,76855,74725,66153
2790.25,54271,54798,57688,60153,57243,50602,63904,69614,70398,69535,71182,63404,68714,75861,80088,61916,65294,52345,63316,70557,70518,75541,75455,65645
2820.25,52873,54263,58029,59739,56947,51339,64251,71110,70657,73588,73000,65506,69024,79192,78435,63961,64122,54761,63973,69210,75986,76190,76812,66171
2850.25,53225,56924,57688,61465,55867,51949,65065,70667,71257,70573,72198,63437,69394,76714,78341,63331,63031,54314,62412,70282,72020,76869,73237,65286
2880.25,53861,52273,55420,59388,57853,51627,62571,66027,70592,68520,73351,62463,67420,76618,79594,64153,64571,54490,62729,70390,74908,76825,74320,66210
2910.25,53971,53439,56335,58410,53694,50827,62439,68196,70465,69624,72410,61682,67198,75608,78229,63784,63686,53908,63124,69349,72165,76020,72869,64947
2940.25,53331,52096,55933,58265,54251,50337,62033,67794,66616,70482,70992,64149,67447,75914,80729,63465,65380,54678,64047,73439,73386,78071,75275,66569
2970.25,50427,52869,54871,59837,53782,49292,62298,67576,67437,71324,70910,62118,68414,76239,75363,62939,63465,56320,60725,71894,72576,76380,74914,65784
3000.25,50882,54392,56600,59880,54531,49451,62929,65180,69961,71253,73459,64445,66871,75892,76876,60743,64435,53775,64680,72376,74806,75882,73067,64169
3030.25,48586,53314,54678,57488,54455,48276,62602,65986,67653,69110,69924,65673,66090,74994,76416,62208,63529,55151,63665,70308,71792,75794,75275,66612
3060.25,50759,53876,58596,57402,53924,48188,62529,67596,69092,69076,69694,62422,68116,73453,77159,64792,66722,54812,63625,73490,73206,75382,76188,66204
3090.25,47373,49198,53765,58641,53012,48535,57700,65949,65651,67590,68851,60953,65927,73290,74586,64884,65320,54373,63249,69357,74394,76249,74024,65006
3120.25,50490,48849,54292,57322,54178,49002,59767,65880,63990,69402,69422,59673,65304,74159,76304,60735,65349,54947,64480,72069,73257,75478,73890,64210
3150.25,50571,49747,56729,56471,50373,45665,57451,66200,65078,65404,70833,62061,64147,72259,75653,63408,63173,53718,62688,70396,73324,76775,74516,66253
3180.25,47265,51402,57155,56402,51716,47198,61782,66214,70429,67729,71427,62012,66512,74192,74180,65127,65969,57045,64704,71571,74378,78937,74435,67755
3210.25,48033,49280,59957,58043,51851,47388,60388,65661,66414,65943,68559,59261,64202,71178,74378,65314,63927,53514,63063,71392,73084,76278,73833,66251
3240.25,49171,48565,52892,54588,50618,45463,58073,62496,64955,66735,67867,59375,65625,73551,73324,61163,66225,56275,63294,70906,72200,74935,73531,65449
3270.25,49053,49894,52322,54384,50120,44894,58680,61594,63122,64969,69178,59835,63575,70229,72853,60543,65659,53710,64051,70855,72580,76986,74224,65692
3300.25,49718,53863,54545,56182,51616,45139,56953,63594,64629,66361,69504,61145,64302,71263,74655,65624,65139,55741,62773,71863,73122,76167,72006,65290
3330.25,48259,48739,51253,53880,50331,45853,56073,62145,65049,65918,70449,58527,64692,72402,72188,62863,63231,54731,62314,71273,71906,77933,71580,66006
3360.25,49439,54080,54276,53147,51798,45661,61563,62449,67875,67012,69112,60469,63531,71206,75363,66327,62216,55831,63747,71249,76429,75620,73092,63243
